N,MeanEstimate,MeanAbsError,MinEstimate,MaxEstimate,Classes,Log10Arrangements
2,0.37500192,0.18700884,0.00000000,1.00000000,9,151.52214971
4,0.43750000,0.13579710,0.00000000,1.00000000,25,151.52214971
8,0.46875000,0.09674329,0.00000000,1.00000000,81,151.52214971
16,0.48437500,0.06781923,0.00000000,1.00000000,289,151.52214971
32,0.49218750,0.04650817,0.00000000,1.00000000,1089,151.52214971
64,0.49609375,0.03050320,0.00000000,1.00000000,4225,151.52214971
128,0.49804687,0.01762245,0.02343750,0.97656250,16541,151.52214971
256,0.50000000,0.00000000,0.50000000,0.50000000,1,151.52214971
