N,MeanEstimate,MeanAbsError,MinEstimate,MaxEstimate,Classes,Log10Arrangements
2,0.37549020,0.25000000,0.00000000,0.50000000,3,75.76107485
4,0.25000000,0.03051616,0.00000000,0.50000000,5,75.76107485
8,0.25000000,0.09114698,0.00000000,0.50000000,9,75.76107485
16,0.25000000,0.05515240,0.00000000,0.50000000,17,75.76107485
32,0.25000000,0.03526475,0.00000000,0.50000000,33,75.76107485
64,0.25000000,0.02243958,0.00000000,0.50000000,65,75.76107485
128,0.25000000,0.01283205,0.00000000,0.50000000,129,75.76107485
256,0.25000000,0.00000000,0.25000000,0.25000000,1,75.76107485
