BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,Log10TrialCount
7,63,0.2460937500,-0.0039062500,1.853870460509e-01,1.868000000000e-01,20000,20090,14.5126
7,64,0.2500000000,0.0000000000,2.119535288750e-01,2.097500000000e-01,20000,20090,14.5708
7,65,0.2539062500,0.0039062500,1.843670515779e-01,1.847500000000e-01,20000,20090,14.5103
7,66,0.2578125000,0.0078125000,1.216066512606e-01,1.227500000000e-01,20000,20090,14.3295
7,67,0.2617187500,0.0117187500,5.992311143331e-02,5.980000000000e-02,20000,20090,14.0222
7,68,0.2656250000,0.0156250000,2.139415384095e-02,2.065000000000e-02,20000,20090,13.5749
7,69,0.2695312500,0.0195312500,5.228363905121e-03,5.050000000000e-03,20000,20090,12.9629
7,70,0.2734375000,0.0234375000,7.817139946321e-04,6.000000000000e-04,20000,20090,12.1376
7,71,0.2773437500,0.0273437500,5.382448312570e-05,5.000000000000e-05,20000,20090,10.9756
8,56,0.2187500000,-0.0312500000,1.022105530936e-05,0.000000000000e+00,20000,20102,12.0543
8,57,0.2226562500,-0.0273437500,1.861307966862e-04,1.000000000000e-04,20000,20102,13.3146
8,58,0.2265625000,-0.0234375000,1.540752979516e-03,1.700000000000e-03,20000,20102,14.2325
8,59,0.2304687500,-0.0195312500,7.731660181985e-03,7.950000000000e-03,20000,20102,14.9330
8,60,0.2343750000,-0.0156250000,2.644404107099e-02,2.700000000000e-02,20000,20102,15.4671
8,61,0.2382812500,-0.0117187500,6.563510481452e-02,6.560000000000e-02,20000,20102,15.8619
8,62,0.2421875000,-0.0078125000,1.227311735850e-01,1.226000000000e-01,20000,20102,16.1337
8,63,0.2460937500,-0.0039062500,1.768959850274e-01,1.740500000000e-01,20000,20102,16.2925
8,64,0.2500000000,0.0000000000,1.991006263029e-01,2.001000000000e-01,20000,20102,16.3438
8,65,0.2539062500,0.0039062500,1.759082711093e-01,1.780000000000e-01,20000,20102,16.2901
8,66,0.2578125000,0.0078125000,1.217627119663e-01,1.197500000000e-01,20000,20102,16.1303
8,67,0.2617187500,0.0117187500,6.539543950012e-02,6.635000000000e-02,20000,20102,15.8603
8,68,0.2656250000,0.0156250000,2.672463203472e-02,2.735000000000e-02,20000,20102,15.4717
8,69,0.2695312500,0.0195312500,8.031963222585e-03,8.100000000000e-03,20000,20102,14.9496
8,70,0.2734375000,0.0234375000,1.672945090584e-03,1.050000000000e-03,20000,20102,14.2683
8,71,0.2773437500,0.0273437500,2.154447027214e-04,3.000000000000e-04,20000,20102,13.3781
8,72,0.2812500000,0.0312500000,1.289655932319e-05,0.000000000000e+00,20000,20102,12.1552
9,55,0.2148437500,-0.0351562500,2.271345624302e-06,0.000000000000e+00,20000,20114,13.1492
9,56,0.2187500000,-0.0312500000,4.745489965060e-05,0.000000000000e+00,20000,20114,14.4692
9,57,0.2226562500,-0.0273437500,4.537898794726e-04,2.500000000000e-04,20000,20114,15.4498
9,58,0.2265625000,-0.0234375000,2.649833708756e-03,2.600000000000e-03,20000,20114,16.2162
9,59,0.2304687500,-0.0195312500,1.063109665215e-02,1.110000000000e-02,20000,20114,16.8195
