CountA,BitsFlipped,MeanOnesDelta,Log10Combinations
25,24,-6.7500000000,7.0219
25,25,-7.0312500000,6.5271
25,26,-7.3125000000,5.9572
25,27,-7.5937500000,5.3040
25,28,-7.8750000000,4.5558
25,29,-8.1562500000,3.6955
25,30,-8.4375000000,2.6955
25,31,-8.7187500000,1.5051
25,32,-9.0000000000,0.0000
26,0,0.0000000000,0.0000
26,1,-0.3125000000,1.5051
26,2,-0.6250000000,2.6955
26,3,-0.9375000000,3.6955
26,4,-1.2500000000,4.5558
26,5,-1.5625000000,5.3040
26,6,-1.8750000000,5.9572
26,7,-2.1875000000,6.5271
26,8,-2.5000000000,7.0219
26,9,-2.8125000000,7.4479
26,10,-3.1250000000,7.8096
26,11,-3.4375000000,8.1107
26,12,-3.7500000000,8.3537
26,13,-4.0625000000,8.5408
26,14,-4.3750000000,8.6734
26,15,-4.6875000000,8.7526
26,16,-5.0000000000,8.7789
26,17,-5.3125000000,8.7526
26,18,-5.6250000000,8.6734
26,19,-5.9375000000,8.5408
26,20,-6.2500000000,8.3537
26,21,-6.5625000000,8.1107
26,22,-6.8750000000,7.8096
26,23,-7.1875000000,7.4479
26,24,-7.5000000000,7.0219
26,25,-7.8125000000,6.5271
26,26,-8.1250000000,5.9572
26,27,-8.4375000000,5.3040
26,28,-8.7500000000,4.5558
26,29,-9.0625000000,3.6955
26,30,-9.3750000000,2.6955
26,31,-9.6875000000,1.5051
26,32,-10.0000000000,0.0000
27,0,0.0000000000,0.0000
27,1,-0.3437500000,1.5051
27,2,-0.6875000000,2.6955
27,3,-1.0312500000,3.6955
27,4,-1.3750000000,4.5558
27,5,-1.7187500000,5.3040
27,6,-2.0625000000,5.9572
27,7,-2.4062500000,6.5271
27,8,-2.7500000000,7.0219
27,9,-3.0937500000,7.4479
27,10,-3.4375000000,7.8096
27,11,-3.7812500000,8.1107
27,12,-4.1250000000,8.3537
27,13,-4.4687500000,8.5408
27,14,-4.8125000000,8.6734
27,15,-5.1562500000,8.7526
27,16,-5.5000000000,8.7789
27,17,-5.8437500000,8.7526
27,18,-6.1875000000,8.6734
27,19,-6.5312500000,8.5408
27,20,-6.8750000000,8.3537
27,21,-7.2187500000,8.1107
27,22,-7.5625000000,7.8096
27,23,-7.9062500000,7.4479
27,24,-8.2500000000,7.0219
27,25,-8.5937500000,6.5271
27,26,-8.9375000000,5.9572
27,27,-9.2812500000,5.3040
27,28,-9.6250000000,4.5558
27,29,-9.9687500000,3.6955
27,30,-10.3125000000,2.6955
27,31,-10.6562500000,1.5051
27,32,-11.0000000000,0.0000
28,0,0.0000000000,0.0000
28,1,-0.3750000000,1.5051
28,2,-0.7500000000,2.6955
28,3,-1.1250000000,3.6955
28,4,-1.5000000000,4.5558
28,5,-1.8750000000,5.3040
28,6,-2.2500000000,5.9572
28,7,-2.6250000000,6.5271
28,8,-3.0000000000,7.0219
28,9,-3.3750000000,7.4479
28,10,-3.7500000000,7.8096
28,11,-4.1250000000,8.1107
28,12,-4.5000000000,8.3537
28,13,-4.8750000000,8.5408
28,14,-5.2500000000,8.6734
28,15,-5.6250000000,8.7526
28,16,-6.0000000000,8.7789
28,17,-6.3750000000,8.7526
28,18,-6.7500000000,8.6734
28,19,-7.1250000000,8.5408
28,20,-7.5000000000,8.3537
28,21,-7.8750000000,8.1107
28,22,-8.2500000000,7.8096
28,23,-8.6250000000,7.4479
28,24,-9.0000000000,7.0219
28,25,-9.3750000000,6.5271
28,26,-9.7500000000,5.9572
28,27,-10.1250000000,5.3040
28,28,-10.5000000000,4.5558
28,29,-10.8750000000,3.6955
28,30,-11.2500000000,2.6955
28,31,-11.6250000000,1.5051
28,32,-12.0000000000,0.0000
29,0,0.0000000000,0.0000
29,1,-0.4062500000,1.5051
29,2,-0.8125000000,2.6955
29,3,-1.2187500000,3.6955
29,4,-1.6250000000,4.5558
29,5,-2.0312500000,5.3040
29,6,-2.4375000000,5.9572
29,7,-2.8437500000,6.5271
29,8,-3.2500000000,7.0219
29,9,-3.6562500000,7.4479
29,10,-4.0625000000,7.8096
29,11,-4.4687500000,8.1107
29,12,-4.8750000000,8.3537
29,13,-5.2812500000,8.5408
29,14,-5.6875000000,8.6734
29,15,-6.0937500000,8.7526
29,16,-6.5000000000,8.7789
29,17,-6.9062500000,8.7526
29,18,-7.3125000000,8.6734
29,19,-7.7187500000,8.5408
29,20,-8.1250000000,8.3537
29,21,-8.5312500000,8.1107
29,22,-8.9375000000,7.8096
29,23,-9.3437500000,7.4479
29,24,-9.7500000000,7.0219
29,25,-10.1562500000,6.5271
29,26,-10.5625000000,5.9572
29,27,-10.9687500000,5.3040
29,28,-11.3750000000,4.5558
29,29,-11.7812500000,3.6955
29,30,-12.1875000000,2.6955
29,31,-12.5937500000,1.5051
29,32,-13.0000000000,0.0000
30,0,0.0000000000,0.0000
30,1,-0.4375000000,1.5051
30,2,-0.8750000000,2.6955
30,3,-1.3125000000,3.6955
30,4,-1.7500000000,4.5558
30,5,-2.1875000000,5.3040
30,6,-2.6250000000,5.9572
30,7,-3.0625000000,6.5271
30,8,-3.5000000000,7.0219
30,9,-3.9375000000,7.4479
30,10,-4.3750000000,7.8096
30,11,-4.8125000000,8.1107
30,12,-5.2500000000,8.3537
30,13,-5.6875000000,8.5408
30,14,-6.1250000000,8.6734
30,15,-6.5625000000,8.7526
30,16,-7.0000000000,8.7789
30,17,-7.4375000000,8.7526
30,18,-7.8750000000,8.6734
30,19,-8.3125000000,8.5408
30,20,-8.7500000000,8.3537
30,21,-9.1875000000,8.1107
30,22,-9.6250000000,7.8096
30,23,-10.0625000000,7.4479
30,24,-10.5000000000,7.0219
30,25,-10.9375000000,6.5271
30,26,-11.3750000000,5.9572
30,27,-11.8125000000,5.3040
30,28,-12.2500000000,4.5558
30,29,-12.6875000000,3.6955
30,30,-13.1250000000,2.6955
30,31,-13.5625000000,1.5051
30,32,-14.0000000000,0.0000
31,0,0.0000000000,0.0000
31,1,-0.4687500000,1.5051
31,2,-0.9375000000,2.6955
31,3,-1.4062500000,3.6955
31,4,-1.8750000000,4.5558
31,5,-2.3437500000,5.3040
31,6,-2.8125000000,5.9572
31,7,-3.2812500000,6.5271
31,8,-3.7500000000,7.0219
31,9,-4.2187500000,7.4479
31,10,-4.6875000000,7.8096
31,11,-5.1562500000,8.1107
31,12,-5.6250000000,8.3537
31,13,-6.0937500000,8.5408
31,14,-6.5625000000,8.6734
31,15,-7.0312500000,8.7526
31,16,-7.5000000000,8.7789
31,17,-7.9687500000,8.7526
31,18,-8.4375000000,8.6734
31,19,-8.9062500000,8.5408
31,20,-9.3750000000,8.3537
31,21,-9.8437500000,8.1107
31,22,-10.3125000000,7.8096
31,23,-10.7812500000,7.4479
31,24,-11.2500000000,7.0219
31,25,-11.7187500000,6.5271
31,26,-12.1875000000,5.9572
31,27,-12.6562500000,5.3040
31,28,-13.1250000000,4.5558
31,29,-13.5937500000,3.6955
31,30,-14.0625000000,2.6955
31,31,-14.5312500000,1.5051
31,32,-15.0000000000,0.0000
32,0,0.0000000000,0.0000
32,1,-0.5000000000,1.5051
32,2,-1.0000000000,2.6955
32,3,-1.5000000000,3.6955
32,4,-2.0000000000,4.5558
32,5,-2.5000000000,5.3040
32,6,-3.0000000000,5.9572
32,7,-3.5000000000,6.5271
32,8,-4.0000000000,7.0219
32,9,-4.5000000000,7.4479
32,10,-5.0000000000,7.8096
32,11,-5.5000000000,8.1107
32,12,-6.0000000000,8.3537
32,13,-6.5000000000,8.5408
32,14,-7.0000000000,8.6734
32,15,-7.5000000000,8.7526
32,16,-8.0000000000,8.7789
32,17,-8.5000000000,8.7526
32,18,-9.0000000000,8.6734
32,19,-9.5000000000,8.5408
32,20,-10.0000000000,8.3537
32,21,-10.5000000000,8.1107
32,22,-11.0000000000,7.8096
32,23,-11.5000000000,7.4479
32,24,-12.0000000000,7.0219
32,25,-12.5000000000,6.5271
32,26,-13.0000000000,5.9572
32,27,-13.5000000000,5.3040
32,28,-14.0000000000,4.5558
32,29,-14.5000000000,3.6955
32,30,-15.0000000000,2.6955
32,31,-15.5000000000,1.5051
32,32,-16.0000000000,0.0000
