CountA,BitsFlipped,MeanOnesDelta,Log10Combinations
5,8,2.7500000000,7.0219
5,9,3.0937500000,7.4479
5,10,3.4375000000,7.8096
5,11,3.7812500000,8.1107
5,12,4.1250000000,8.3537
5,13,4.4687500000,8.5408
5,14,4.8125000000,8.6734
5,15,5.1562500000,8.7526
5,16,5.5000000000,8.7789
5,17,5.8437500000,8.7526
5,18,6.1875000000,8.6734
5,19,6.5312500000,8.5408
5,20,6.8750000000,8.3537
5,21,7.2187500000,8.1107
5,22,7.5625000000,7.8096
5,23,7.9062500000,7.4479
5,24,8.2500000000,7.0219
5,25,8.5937500000,6.5271
5,26,8.9375000000,5.9572
5,27,9.2812500000,5.3040
5,28,9.6250000000,4.5558
5,29,9.9687500000,3.6955
5,30,10.3125000000,2.6955
5,31,10.6562500000,1.5051
5,32,11.0000000000,0.0000
6,0,0.0000000000,0.0000
6,1,0.3125000000,1.5051
6,2,0.6250000000,2.6955
6,3,0.9375000000,3.6955
6,4,1.2500000000,4.5558
6,5,1.5625000000,5.3040
6,6,1.8750000000,5.9572
6,7,2.1875000000,6.5271
6,8,2.5000000000,7.0219
6,9,2.8125000000,7.4479
6,10,3.1250000000,7.8096
6,11,3.4375000000,8.1107
6,12,3.7500000000,8.3537
6,13,4.0625000000,8.5408
6,14,4.3750000000,8.6734
6,15,4.6875000000,8.7526
6,16,5.0000000000,8.7789
6,17,5.3125000000,8.7526
6,18,5.6250000000,8.6734
6,19,5.9375000000,8.5408
6,20,6.2500000000,8.3537
6,21,6.5625000000,8.1107
6,22,6.8750000000,7.8096
6,23,7.1875000000,7.4479
6,24,7.5000000000,7.0219
6,25,7.8125000000,6.5271
6,26,8.1250000000,5.9572
6,27,8.4375000000,5.3040
6,28,8.7500000000,4.5558
6,29,9.0625000000,3.6955
6,30,9.3750000000,2.6955
6,31,9.6875000000,1.5051
6,32,10.0000000000,0.0000
7,0,0.0000000000,0.0000
7,1,0.2812500000,1.5051
7,2,0.5625000000,2.6955
7,3,0.8437500000,3.6955
7,4,1.1250000000,4.5558
7,5,1.4062500000,5.3040
7,6,1.6875000000,5.9572
7,7,1.9687500000,6.5271
7,8,2.2500000000,7.0219
7,9,2.5312500000,7.4479
7,10,2.8125000000,7.8096
7,11,3.0937500000,8.1107
7,12,3.3750000000,8.3537
