N,MeanEstimate,MeanAbsError,MinEstimate,MaxEstimate,Classes,Log10Arrangements
2,0.25000000,0.28088235,0.00000000,1.00000000,3,151.52214971
4,0.25000000,0.15695878,0.00000000,1.00000000,5,151.52214971
8,0.25000000,0.11495371,0.00000000,1.00000000,9,151.52214971
16,0.25000000,0.08176033,0.00000000,1.00000000,17,151.52214971
32,0.25000000,0.05647857,0.00000000,1.00000000,33,151.52214971
64,0.25000000,0.03717295,0.00000000,1.00000000,65,151.52214971
128,0.25000000,0.02150220,0.00000000,0.50000000,65,151.52214971
256,0.25000000,0.00000000,0.25000000,0.25000000,1,151.52214971
