BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,Log10TrialCount
7,127,0.4960937500,-0.0039062500,1.845307186423e-01,1.872000000000e-01,20000,20000,15.7493
7,128,0.5000000000,0.0000000000,2.114207342918e-01,2.078000000000e-01,20000,20000,15.8083
7,129,0.5039062500,0.0039062500,1.845307186423e-01,1.802000000000e-01,20000,20000,15.7493
7,130,0.5078125000,0.0078125000,1.220731897936e-01,1.250500000000e-01,20000,20000,15.5698
7,131,0.5117187500,0.0117187500,6.021038010624e-02,5.980000000000e-02,20000,20000,15.2629
7,132,0.5156250000,0.0156250000,2.144685827673e-02,2.095000000000e-02,20000,20000,14.8146
7,133,0.5195312500,0.0195312500,5.206783850291e-03,4.400000000000e-03,20000,20000,14.1998
7,134,0.5234375000,0.0234375000,7.695847838074e-04,8.500000000000e-04,20000,20000,13.3694
7,135,0.5273437500,0.0273437500,5.211740120872e-05,5.000000000000e-05,20000,20000,12.2002
8,120,0.4687500000,-0.0312500000,1.235359080780e-05,0.000000000000e+00,20000,20000,13.5533
8,121,0.4726562500,-0.0273437500,2.103871964694e-04,1.000000000000e-04,20000,20000,14.7845
8,122,0.4765625000,-0.0234375000,1.657089193916e-03,1.600000000000e-03,20000,20000,15.6808
8,123,0.4804687500,-0.0195312500,8.030019067450e-03,7.700000000000e-03,20000,20000,16.3662
8,124,0.4843750000,-0.0156250000,2.684601635583e-02,2.635000000000e-02,20000,20000,16.8904
8,125,0.4882812500,-0.0117187500,6.575948439049e-02,6.780000000000e-02,20000,20000,17.2794
8,126,0.4921875000,-0.0078125000,1.222282043994e-01,1.189000000000e-01,20000,20000,17.5487
8,127,0.4960937500,-0.0039062500,1.760001092685e-01,1.768500000000e-01,20000,20000,17.7070
8,128,0.5000000000,0.0000000000,1.985126730741e-01,2.006500000000e-01,20000,20000,17.7593
8,129,0.5039062500,0.0039062500,1.760001092685e-01,1.760500000000e-01,20000,20000,17.7070
8,130,0.5078125000,0.0078125000,1.222282043994e-01,1.225000000000e-01,20000,20000,17.5487
8,131,0.5117187500,0.0117187500,6.575948439049e-02,6.390000000000e-02,20000,20000,17.2794
8,132,0.5156250000,0.0156250000,2.684601635583e-02,2.765000000000e-02,20000,20000,16.8904
8,133,0.5195312500,0.0195312500,8.030019067450e-03,7.900000000000e-03,20000,20000,16.3662
8,134,0.5234375000,0.0234375000,1.657089193916e-03,1.850000000000e-03,20000,20000,15.6808
8,135,0.5273437500,0.0273437500,2.103871964694e-04,2.000000000000e-04,20000,20000,14.7845
8,136,0.5312500000,0.0312500000,1.235359080780e-05,0.000000000000e+00,20000,20000,13.5533
9,119,0.4648437500,-0.0351562500,2.905251342305e-06,5.000000000000e-05,20000,20000,14.8512
9,120,0.4687500000,-0.0312500000,5.617632872599e-05,0.000000000000e+00,20000,20000,16.1376
9,121,0.4726562500,-0.0273437500,5.059970163470e-04,4.500000000000e-04,20000,20000,17.0922
9,122,0.4765625000,-0.0234375000,2.826392057394e-03,2.950000000000e-03,20000,20000,17.8393
9,123,0.4804687500,-0.0195312500,1.099011110489e-02,1.095000000000e-02,20000,20000,18.4291
9,124,0.4843750000,-0.0156250000,3.163626528799e-02,3.095000000000e-02,20000,20000,18.8882
9,125,0.4882812500,-0.0117187500,6.995281025370e-02,7.145000000000e-02,20000,20000,19.2329
9,126,0.4921875000,-0.0078125000,1.215949452714e-01,1.237000000000e-01,20000,20000,19.4730
9,127,0.4960937500,-0.0039062500,1.685481763737e-01,1.666500000000e-01,20000,20000,19.6148
9,128,0.5000000000,0.0000000000,1.877724421091e-01,1.862500000000e-01,20000,20000,19.6617
9,129,0.5039062500,0.0039062500,1.685481763737e-01,1.733000000000e-01,20000,20000,19.6148
9,130,0.5078125000,0.0078125000,1.215949452714e-01,1.213000000000e-01,20000,20000,19.4730
9,131,0.5117187500,0.0117187500,6.995281025370e-02,6.880000000000e-02,20000,20000,19.2329
9,132,0.5156250000,0.0156250000,3.163626528799e-02,2.975000000000e-02,20000,20000,18.8882
9,133,0.5195312500,0.0195312500,1.099011110489e-02,9.900000000000e-03,20000,20000,18.4291
9,134,0.5234375000,0.0234375000,2.826392057394e-03,3.050000000000e-03,20000,20000,17.8393
9,135,0.5273437500,0.0273437500,5.059970163470e-04,4.500000000000e-04,20000,20000,17.0922
9,136,0.5312500000,0.0312500000,5.617632872599e-05,5.000000000000e-05,20000,20000,16.1376
9,137,0.5351562500,0.0351562500,2.905251342305e-06,0.000000000000e+00,20000,20000,14.8512
10,118,0.4609375000,-0.0390625000,6.778348839712e-07,0.000000000000e+00,20000,20000,16.0994
10,119,0.4648437500,-0.0351562500,1.469850481482e-05,0.000000000000e+00,20000,20000,17.4356
10,120,0.4687500000,-0.0312500000,1.493218720627e-04,4.000000000000e-04,20000,20000,18.4424
10,121,0.4726562500,-0.0273437500,9.465750829439e-04,9.000000000000e-04,20000,20000,19.2445
10,122,0.4765625000,-0.0234375000,4.205889527020e-03,3.550000000000e-03,20000,20000,19.8922
10,123,0.4804687500,-0.0195312500,1.394285951738e-02,1.300000000000e-02,20000,20000,20.4126
10,124,0.4843750000,-0.0156250000,3.582370795454e-02,3.550000000000e-02,20000,20000,20.8225
10,125,0.4882812500,-0.0117187500,7.311778291406e-02,7.165000000000e-02,20000,20000,21.1323
10,126,0.4921875000,-0.0078125000,1.204916606306e-01,1.197500000000e-01,20000,20000,21.3493
10,127,0.4960937500,-0.0039062500,1.619780839817e-01,1.633500000000e-01,20000,20000,21.4778
10,128,0.5000000000,0.0000000000,1.786574843600e-01,1.893500000000e-01,20000,20000,21.5203
10,129,0.5039062500,0.0039062500,1.619780839817e-01,1.585500000000e-01,20000,20000,21.4778
10,130,0.5078125000,0.0078125000,1.204916606306e-01,1.157000000000e-01,20000,20000,21.3493
10,131,0.5117187500,0.0117187500,7.311778291406e-02,7.325000000000e-02,20000,20000,21.1323
10,132,0.5156250000,0.0156250000,3.582370795454e-02,3.495000000000e-02,20000,20000,20.8225
10,133,0.5195312500,0.0195312500,1.394285951738e-02,1.470000000000e-02,20000,20000,20.4126
10,134,0.5234375000,0.0234375000,4.205889527020e-03,4.100000000000e-03,20000,20000,19.8922
10,135,0.5273437500,0.0273437500,9.465750829439e-04,1.100000000000e-03,20000,20000,19.2445
10,136,0.5312500000,0.0312500000,1.493218720627e-04,1.500000000000e-04,20000,20000,18.4424
10,137,0.5351562500,0.0351562500,1.469850481482e-05,5.000000000000e-05,20000,20000,17.4356
10,138,0.5390625000,0.0390625000,6.778348839712e-07,0.000000000000e+00,20000,20000,16.0994
